Words,NER Tag
"Corporate Responsibility 
Management Report Risk Report 
Financial Statements Further Information",ORG
267,CARDINAL
268,CARDINAL
269,CARDINAL
271,CARDINAL
272,CARDINAL
275,CARDINAL
276,CARDINAL
405,CARDINAL
"the Board 
406 Independent Auditor´s Report 
",ORG
50,CARDINAL
51,CARDINAL
52,CARDINAL
"Leasing 
 
",ORG
53,CARDINAL
54,CARDINAL
55,CARDINAL
56,CARDINAL
57,CARDINAL
374,CARDINAL
58,CARDINAL
59,CARDINAL
"IFRS 
 
",ORG
60,CARDINAL
61,CARDINAL
Bank,ORG
"the financial year 
 
",DATE
62,CARDINAL
63,CARDINAL
64,CARDINAL
65,CARDINAL
66,CARDINAL
67,CARDINAL
68,CARDINAL
"Letters of comfort 
 
",ORG
69,CARDINAL
403 Boards,WORK_OF_ART
Commerzbank Aktiengesellschaft,ORG
405,CARDINAL
the Board of Managing Directors,ORG
406,CARDINAL
268,CARDINAL
2023,DATE
1.1.-31.12.2023,CARDINAL
9,CARDINAL
"15,482",CARDINAL
"9,127",CARDINAL
69.6,CARDINAL
9,CARDINAL
"2,781",CARDINAL
"1,205",CARDINAL
9,CARDINAL
"18,263",CARDINAL
"10,332",CARDINAL
76.8,CARDINAL
9,CARDINAL
"9,895",CARDINAL
"3,873",CARDINAL
9,CARDINAL
"8,368",CARDINAL
"6,459",CARDINAL
29.6,CARDINAL
10,CARDINAL
26,CARDINAL
32,CARDINAL
11,CARDINAL
618,CARDINAL
876,CARDINAL
29.4,CARDINAL
12,CARDINAL
"4,116",CARDINAL
"4,194",CARDINAL
1.9,CARDINAL
12,CARDINAL
730,CARDINAL
675,CARDINAL
8.2,CARDINAL
12,CARDINAL
"3,386",CARDINAL
"3,519",CARDINAL
3.8,CARDINAL
13,CARDINAL
359,CARDINAL
451,CARDINAL
14,CARDINAL
39,CARDINAL
113,CARDINAL
115,CARDINAL
340,CARDINAL
66.1,CARDINAL
167,CARDINAL
48,CARDINAL
15,CARDINAL
52,CARDINAL
292,CARDINAL
16,CARDINAL
4,CARDINAL
13,CARDINAL
69.7,CARDINAL
17,CARDINAL
"1,055",CARDINAL
606,CARDINAL
74.0,CARDINAL
18,CARDINAL
"6,006",CARDINAL
"5,844",CARDINAL
2.8,CARDINAL
19,CARDINAL
415,CARDINAL
642,CARDINAL
35.3,CARDINAL
20,CARDINAL
18,CARDINAL
80.4,CARDINAL
"3,403",CARDINAL
"2,005",CARDINAL
69.7,CARDINAL
21,CARDINAL
"1,188",CARDINAL
612,CARDINAL
94.2,CARDINAL
Consolidated,ORG
"2,214",CARDINAL
"1,393",CARDINAL
58.9,CARDINAL
Consolidated,ORG
10,CARDINAL
42,CARDINAL
76.5,CARDINAL
Consolidated,ORG
Commerzbank,ORG
"2,224",CARDINAL
"1,435",CARDINAL
"55.0 
 
€ 
 
1.1.-31.12.2023",MONEY
23,CARDINAL
1.63,CARDINAL
0.99,CARDINAL
63.9,CARDINAL
IAS 33,ORG
Commerzbank,ORG
current financial year,DATE
"Corporate Responsibility 
Management Report Risk Report 
Financial Statements Further Information",ORG
269,CARDINAL
268,CARDINAL
269,CARDINAL
271,CARDINAL
272,CARDINAL
275,CARDINAL
276,CARDINAL
405,CARDINAL
"the Board 
406 Independent Auditor´s Report 
Condensed",ORG
1.1.-31.12.2023,CARDINAL
Consolidated,ORG
"2,214",CARDINAL
"1,393",CARDINAL
58.9,CARDINAL
7,CARDINAL
87,CARDINAL
92.0,CARDINAL
OCS,ORG
FVO,ORG
131,CARDINAL
147,CARDINAL
124,CARDINAL
234,CARDINAL
133,CARDINAL
94.7,CARDINAL
205,CARDINAL
432,CARDINAL
1,CARDINAL
2,CARDINAL
45.6,CARDINAL
93,CARDINAL
48,CARDINAL
21,CARDINAL
32,CARDINAL
34.6,CARDINAL
101,CARDINAL
16,CARDINAL
2,CARDINAL
1,CARDINAL
1,CARDINAL
1,CARDINAL
554,CARDINAL
429,CARDINAL
130,CARDINAL
"2,644",CARDINAL
"1,263",CARDINAL
128,CARDINAL
85,CARDINAL
Commerzbank,ORG
"2,516",CARDINAL
"1,348",CARDINAL
86.7,CARDINAL
270,CARDINAL
Commerzbank,ORG
OCS,ORG
FVO,ORG
131,CARDINAL
131,CARDINAL
12,CARDINAL
5,CARDINAL
339,CARDINAL
339,CARDINAL
94,CARDINAL
94,CARDINAL
2,CARDINAL
2,CARDINAL
122,CARDINAL
122,CARDINAL
1,CARDINAL
1,CARDINAL
434,CARDINAL
5,CARDINAL
429,CARDINAL
OCS,ORG
FVO,ORG
147,CARDINAL
147,CARDINAL
141,CARDINAL
54,CARDINAL
87,CARDINAL
364,CARDINAL
364,CARDINAL
46,CARDINAL
46,CARDINAL
1,CARDINAL
1,CARDINAL
47,CARDINAL
47,CARDINAL
1,CARDINAL
1,CARDINAL
54,CARDINAL
130,CARDINAL
"Corporate Responsibility 
Management Report Risk Report 
Financial Statements Further Information",ORG
271,CARDINAL
268,CARDINAL
269,CARDINAL
271,CARDINAL
272,CARDINAL
275,CARDINAL
276,CARDINAL
405,CARDINAL
"the Board 
406 Independent Auditor´s Report 
Balance",ORG
31.12.2023,CARDINAL
58,DATE
"93,126",CARDINAL
"75,233",CARDINAL
23.8,CARDINAL
24,CARDINAL
"298,689",CARDINAL
"296,192",CARDINAL
0.8,CARDINAL
"3,791",CARDINAL
"3,282",CARDINAL
15.5,CARDINAL
26,CARDINAL
"40,143",CARDINAL
"34,887",CARDINAL
15.1,CARDINAL
"9,651",CARDINAL
"5,335",CARDINAL
80.9,CARDINAL
28,CARDINAL
"48,359",CARDINAL
"29,912",CARDINAL
61.7,CARDINAL
29,CARDINAL
"28,334",CARDINAL
"33,573",CARDINAL
15.6,CARDINAL
"1,618",CARDINAL
"1,325",CARDINAL
22.1,CARDINAL
"2,305",CARDINAL
"3,935",CARDINAL
42,DATE
"1,497",CARDINAL
"1,729",CARDINAL
13.4,CARDINAL
43,CARDINAL
142,CARDINAL
182,CARDINAL
22.1,CARDINAL
44,DATE
"1,394",CARDINAL
"1,289",CARDINAL
8.2,CARDINAL
45,CARDINAL
"2,352",CARDINAL
"2,426",CARDINAL
3.1,CARDINAL
46,DATE
53,CARDINAL
57,CARDINAL
7.9,CARDINAL
47,CARDINAL
62,CARDINAL
156,CARDINAL
60.5,CARDINAL
48,CARDINAL
138,CARDINAL
178,CARDINAL
22.3,CARDINAL
48,CARDINAL
"2,505",CARDINAL
"3,113",CARDINAL
19.5,CARDINAL
50,CARDINAL
"2,677",CARDINAL
"2,436",CARDINAL
9.9,CARDINAL
"517,166",CARDINAL
"477,428",CARDINAL
8.3,CARDINAL
Prior-year,DATE
4,CARDINAL
31.12.2023,CARDINAL
25,CARDINAL
"419,809",CARDINAL
"390,385",CARDINAL
7.5,CARDINAL
27,CARDINAL
"36,941",CARDINAL
"25,018",CARDINAL
47.7,CARDINAL
30,CARDINAL
"18,927",CARDINAL
"24,759",CARDINAL
23.6,CARDINAL
"3,311",CARDINAL
"4,840",CARDINAL
31.6,CARDINAL
42,DATE
"3,100",CARDINAL
"3,113",CARDINAL
0.4,CARDINAL
54,DATE
55,DATE
"3,553",CARDINAL
"3,479",CARDINAL
2.1,CARDINAL
49,DATE
535,CARDINAL
826,CARDINAL
35.2,CARDINAL
49,DATE
3,CARDINAL
6,CARDINAL
48.3,CARDINAL
51,CARDINAL
"4,599",CARDINAL
"3,749",CARDINAL
22.7,CARDINAL
59,CARDINAL
"33,009",CARDINAL
"30,934",CARDINAL
6.7,CARDINAL
"1,240",CARDINAL
"1,252",CARDINAL
1.0,CARDINAL
"10,087",CARDINAL
"10,075",CARDINAL
"18,026",CARDINAL
"16,495",CARDINAL
9.3,CARDINAL
475,CARDINAL
891,CARDINAL
46.7,CARDINAL
Commerzbank,ORG
"28,878",CARDINAL
"26,931",CARDINAL
7.2,CARDINAL
"3,114",CARDINAL
"3,114",CARDINAL
"1,016",CARDINAL
888,CARDINAL
14.4,CARDINAL
"517,166",CARDINAL
"477,428",CARDINAL
8.3,CARDINAL
Prior-year,DATE
4,CARDINAL
272,CARDINAL
"1.1.2023 
1,252",CARDINAL
"10,075",CARDINAL
"16,495",CARDINAL
447,CARDINAL
117,CARDINAL
327,CARDINAL
"26,931",CARDINAL
"3,114",CARDINAL
888,CARDINAL
"30,934",CARDINAL
"2,100",CARDINAL
302,CARDINAL
48,CARDINAL
"2,516",CARDINAL
128,CARDINAL
"2,644",CARDINAL
Consolidated,ORG
"2,224",CARDINAL
"2,224 
 
",DATE
10,CARDINAL
"2,214",CARDINAL
OCS,ORG
FVO,ORG
131,CARDINAL
131,CARDINAL
131,CARDINAL
7,CARDINAL
"7 
 
",DATE
0,CARDINAL
302,CARDINAL
302,CARDINAL
37,CARDINAL
339,CARDINAL
"65 
 
65 
 
29",DATE
94,CARDINAL
49,CARDINAL
73,CARDINAL
122,CARDINAL
2,CARDINAL
"2 
 
",DATE
2,CARDINAL
1,CARDINAL
1,CARDINAL
12,CARDINAL
12,CARDINAL
122,CARDINAL
"122 
 
",DATE
122,CARDINAL
250,CARDINAL
"250 
 
",DATE
3,CARDINAL
253,CARDINAL
Tier 1,PRODUCT
194,CARDINAL
"194 
 
",DATE
194,CARDINAL
2,CARDINAL
2,CARDINAL
2,CARDINAL
31.12.2023,CARDINAL
"1,240",CARDINAL
"10,087",CARDINAL
"18,026",CARDINAL
145,CARDINAL
52,CARDINAL
278,CARDINAL
"28,878",CARDINAL
"3,114",CARDINAL
"1,016",CARDINAL
"33,009",CARDINAL
1,CARDINAL
IFRS,ORG
Shareholders,PRODUCT
"Corporate Responsibility 
Management Report Risk Report 
Financial Statements Further Information",ORG
273,CARDINAL
268,CARDINAL
269,CARDINAL
271,CARDINAL
272,CARDINAL
275,CARDINAL
276,CARDINAL
405,CARDINAL
"the Board 
406 Independent Auditor´s Report 
€",ORG
Revalu-,PERSON
31.12.2021,CARDINAL
IAS 8,ORG
"1,252",CARDINAL
"10,075",CARDINAL
"14,979",CARDINAL
86,CARDINAL
88,CARDINAL
396,CARDINAL
"25,738",CARDINAL
"3,114",CARDINAL
975,CARDINAL
"29,827",CARDINAL
28,CARDINAL
28,CARDINAL
28,CARDINAL
1.1.2022,CARDINAL
"1,252",CARDINAL
"10,075",CARDINAL
"15,008",CARDINAL
86,CARDINAL
88,CARDINAL
396,CARDINAL
"25,766",CARDINAL
"3,114",CARDINAL
975,CARDINAL
"29,855",CARDINAL
"1,669",CARDINAL
361,CARDINAL
29,CARDINAL
69,CARDINAL
"1,348",CARDINAL
85,CARDINAL
"1,263",CARDINAL
Consolidated,ORG
"1,435",CARDINAL
"1,435 
 
",DATE
42,CARDINAL
"1,393",CARDINAL
OCS,ORG
FVO,ORG
147,CARDINAL
"147 
 
",DATE
147,CARDINAL
87,CARDINAL
87,DATE
0,CARDINAL
0,CARDINAL
361,CARDINAL
361,CARDINAL
3,CARDINAL
364,CARDINAL
"29 
 
",DATE
"29 
 
",DATE
17,CARDINAL
46,CARDINAL
"71 
71 
 
–",PERCENT
23,CARDINAL
47,CARDINAL
1,CARDINAL
"1 
 
",DATE
1,CARDINAL
1,CARDINAL
"1 
 
",DATE
1,CARDINAL
5,CARDINAL
5,CARDINAL
Tier 1,PRODUCT
190,CARDINAL
"190 
 
",DATE
190,CARDINAL
2,CARDINAL
2,CARDINAL
10,CARDINAL
10,CARDINAL
0,CARDINAL
1,CARDINAL
31.12.2022,CARDINAL
"1,252",CARDINAL
"10,075",CARDINAL
"16,495",CARDINAL
447,CARDINAL
117,CARDINAL
327,CARDINAL
"26,931",CARDINAL
"3,114",CARDINAL
888,CARDINAL
"30,934",CARDINAL
1,CARDINAL
Prior-year,DATE
4,CARDINAL
2,CARDINAL
IFRS,ORG
274,CARDINAL
the current financial year,DATE
the previous year,DATE
31 December 2023,DATE
Commerzbank,ORG
the Bank’s Articles of Association,ORG
"1,240",MONEY
(previous year,DATE
"1,252",MONEY
"1,240,223,329",CARDINAL
previous year,DATE
"1,252,357,634",CARDINAL
1.00,MONEY
"12,134,305",CARDINAL
0.97%,PERCENT
June 2023,DATE
10.05,MONEY
Commerzbank Aktiengesellschaft,ORG
29 September 2023,DATE
the Bank’s Articles of Association,ORG
"1,240,223,329",CARDINAL
0.35,MONEY
Commerzbank Aktiengesellschaft’s,ORG
"2023 financial 
year",DATE
0.20,MONEY
AGM,ORG
"1,240,223,329",CARDINAL
31 December 2023,DATE
(previous year,DATE
"1,252,357,634",CARDINAL
434,MONEY
"the beginning of 
January 2024",DATE
250,MONEY
the previous year,DATE
31 December 2023,DATE
the previous year,DATE
31 December 2023,DATE
2,CARDINAL
3,CARDINAL
50,CARDINAL
(previous year,DATE
114,CARDINAL
US,GPE
Polish,NORP
British,NORP
Brasilian,NORP
Russian,NORP
2,CARDINAL
previous year,DATE
2,CARDINAL
"Corporate Responsibility 
Management Report Risk Report 
Financial Statements Further Information",ORG
275,CARDINAL
268,CARDINAL
269,CARDINAL
271,CARDINAL
272,CARDINAL
275,CARDINAL
276,CARDINAL
405,CARDINAL
"the Board 
406 Independent Auditor´s Report 
Cash",ORG
"2023 
20221",CARDINAL
Consolidated,ORG
"2,214",CARDINAL
"1,393",CARDINAL
823,CARDINAL
554,CARDINAL
952,CARDINAL
"5,589",CARDINAL
17,CARDINAL
11,CARDINAL
36,CARDINAL
"6,970",CARDINAL
"5,062",CARDINAL
"2,970",CARDINAL
"8,667",CARDINAL
24,CARDINAL
"2,759",CARDINAL
"2,793",CARDINAL
28,CARDINAL
"18,554",CARDINAL
"1,338",CARDINAL
26,CARDINAL
"5,256",CARDINAL
"5,228",CARDINAL
29,CARDINAL
167,CARDINAL
"2,793",CARDINAL
31,CARDINAL
482,CARDINAL
25,CARDINAL
"29,980",CARDINAL
"17,329",CARDINAL
27,CARDINAL
"11,849",CARDINAL
"3,975",CARDINAL
30,CARDINAL
39,CARDINAL
54,DATE
272,CARDINAL
184,CARDINAL
672,CARDINAL
"2,570",CARDINAL
9,CARDINAL
"17,665",CARDINAL
"9,585",CARDINAL
10,CARDINAL
26,CARDINAL
32,CARDINAL
9,CARDINAL
"8,996",CARDINAL
"3,739",CARDINAL
21,CARDINAL
673,CARDINAL
233,CARDINAL
"20,087",CARDINAL
"25,859",CARDINAL
43,CARDINAL
23,CARDINAL
76,CARDINAL
45,CARDINAL
57,CARDINAL
55,CARDINAL
43,CARDINAL
2,CARDINAL
62,CARDINAL
45,CARDINAL
998,CARDINAL
675,CARDINAL
1,CARDINAL
106,CARDINAL
920,CARDINAL
713,CARDINAL
"previous year 
 
",DATE
250,CARDINAL
439,CARDINAL
477,CARDINAL
122,CARDINAL
283,CARDINAL
299,CARDINAL
"1,094",CARDINAL
178,CARDINAL
"75,233",CARDINAL
"49,507",CARDINAL
"20,087",CARDINAL
"25,859",CARDINAL
920,CARDINAL
713,CARDINAL
"1,094",CARDINAL
178,CARDINAL
180,CARDINAL
"93,126",CARDINAL
"75,233",CARDINAL
1,CARDINAL
58,DATE
276,CARDINAL
2023,DATE
The Commerzbank Group,ORG
Kaiserplatz,PERSON
60311,DATE
Frankfurt,GPE
Main,GPE
Germany,GPE
Commerzbank Aktiengesellschaft,ORG
Commercial Register,ORG
the District Court of,ORG
Frankfurt,GPE
Commerzbank,ORG
one,CARDINAL
Germany,GPE
Our Group,ORG
31 December 2023,DATE
Art,PERSON
315,CARDINAL
HGB,ORG
EC,ORG
1606/2002,DATE
European Parliament,ORG
the Council of 19 July 2002,ORG
"the IAS 
Regulation",ORG
"the International 
Financial Reporting Standards",ORG
the International Accounting Standards Board,ORG
IASB,ORG
the IFRS Interpretations Committee,ORG
EU,ORG
2023 financial year,DATE
2024 financial year or later,DATE
7.31,CARDINAL
7.42,CARDINAL
Group,ORG
33,DATE
34,DATE
Group,ORG
Group,ORG
183 to 263,CARDINAL
Group,ORG
Group,ORG
millions,CARDINAL
"500,000.00",MONEY
0.00,MONEY
zero,CARDINAL
ESG,ORG
258,CARDINAL
1,CARDINAL
first,ORDINAL
The Commerzbank Group,ORG
International Tax Reform,ORG
Pillar Two Model Rules,PRODUCT
IAS 12,ORG
23 May 2023,DATE
the Commerzbank Group,ORG
Commerzbank Aktiengesellschaft,ORG
"less 
than 15 percent",PERCENT
16,CARDINAL
financial years,DATE
1 January 2024,DATE
7,CARDINAL
Supplier Finance Arrangement,WORK_OF_ART
financial years,DATE
1 January 2024,DATE
IAS 21,ORG
financial years,DATE
1 January 2025,DATE
The Commerzbank Group,ORG
Group,ORG
"Corporate Responsibility 
Management Report Risk Report 
Financial Statements Further Information",ORG
277,CARDINAL
268,CARDINAL
269,CARDINAL
271,CARDINAL
272,CARDINAL
275,CARDINAL
276,CARDINAL
405,CARDINAL
"the Board 
406 Independent Auditor´s Report 
Accounting",ORG
2,CARDINAL
Group,ORG
Group,ORG
31 December 2022,DATE
The Commerzbank Group,ORG
9,CARDINAL
1 July 2022,DATE
30 June 2022,DATE
IAS 39,ORG
42,DATE
3,CARDINAL
Commerzbank Group,ORG
Group,ORG
9,CARDINAL
9,CARDINAL
"at 
least 12 months",DATE
IAS 32.42,ORG
Group,ORG
31 December 2023,DATE
the current financial year,DATE
Group,ORG
one year,DATE
47,DATE
5,CARDINAL
37,CARDINAL
278,CARDINAL
2023,DATE
Group,ORG
today,DATE
Group,ORG
Group,ORG
ESG,ORG
Group,ORG
Group,ORG
year,DATE
annual,DATE
54,DATE
49,CARDINAL
31,CARDINAL
47,DATE
"Corporate Responsibility 
Management Report Risk Report 
Financial Statements Further Information",ORG
279,CARDINAL
268,CARDINAL
269,CARDINAL
271,CARDINAL
272,CARDINAL
275,CARDINAL
276,CARDINAL
405,CARDINAL
"the Board 
406 Independent Auditor´s Report 
• Impairment",ORG
49,DATE
multi-year,DATE
54,DATE
56,CARDINAL
3.3bn,MONEY
Financial,ORG
299bn,MONEY
4,CARDINAL
IAS 8,ORG
prior years,DATE
IAS 8.41,ORG
9,CARDINAL
9,CARDINAL
38,MONEY
10,MONEY
1 January 2022,DATE
28,MONEY
31 March 2023,DATE
30 June 2023,DATE
30 September 2023,DATE
280,CARDINAL
Commerzbank,ORG
2023,DATE
Group,ORG
Group,ORG
Commerzbank Group,ORG
5,CARDINAL
Commerzbank Aktiengesellschaft,ORG
Commerzbank,ORG
Commerzbank,ORG
Commerzbank,ORG
Commerzbank,ORG
Commerzbank,ORG
Group,ORG
first,ORDINAL
Group,ORG
the Mandatorily Fair Value P&L,ORG
Bank,ORG
6,CARDINAL
Commerzbank,ORG
between 20% and 50%,PERCENT
Supervisory Board,ORG
two,CARDINAL
Commerzbank Group,ORG
43,CARDINAL
first,ORDINAL
Group,ORG
"Corporate Responsibility 
Management Report Risk Report 
Financial Statements",ORG
281,CARDINAL
268,CARDINAL
269,CARDINAL
271,CARDINAL
272,CARDINAL
275,CARDINAL
276,CARDINAL
405,CARDINAL
"the Board 
406 Independent Auditor´s Report",ORG
7,CARDINAL
Commerzbank,ORG
Commerzbank Group,ORG
Commerzbank Group,ORG
"Commerzbank 
Group",ORG
Commerzbank Group,ORG
Commerzbank,ORG
the Commerzbank Group,ORG
Commerzbank,ORG
third,ORDINAL
Commerzbank,ORG
third,ORDINAL
69,CARDINAL
8),CARDINAL
Group,ORG
"Commerzbank 
Aktiengesellschaft",ORG
Group,ORG
P&L,ORG
69,CARDINAL
Commerzbank Group,ORG
Group,ORG
Banco Múltiplo,PERSON
Brasilien,GPE
the second quarter of 2023,DATE
Commerzbank Brasil S.A.,ORG
Banco Múltiplo,PERSON
Brazil,GPE
April 2023,DATE
24,CARDINAL
the previous financial year,DATE
ZRT,CARDINAL
Commerzbank Zrt,ORG
Budapest,GPE
Hungarian,NORP
Erste Group,ORG
Hungary,GPE
the fourth quarter of 2022,DATE
49,CARDINAL
282,CARDINAL
9,CARDINAL
2023,CARDINAL
"15,482",CARDINAL
"9,127",CARDINAL
69.6,CARDINAL
"14,472",CARDINAL
"8,664",CARDINAL
67.0,CARDINAL
"13,399",CARDINAL
"7,804",CARDINAL
71.7,CARDINAL
"1,073",CARDINAL
860,CARDINAL
24.7,CARDINAL
991,CARDINAL
421,CARDINAL
5,CARDINAL
6,CARDINAL
6.8,CARDINAL
986,CARDINAL
415,CARDINAL
19,CARDINAL
55.7,CARDINAL
"2,781",CARDINAL
"1,205",CARDINAL
"2,748",CARDINAL
616,CARDINAL
"2,630",CARDINAL
528,CARDINAL
117,CARDINAL
33,CARDINAL
589,CARDINAL
94.3,CARDINAL
"9,895",CARDINAL
"3,873",CARDINAL
"6,855",CARDINAL
"2,890",CARDINAL
"5,860",CARDINAL
"2,154",CARDINAL
995,CARDINAL
736,CARDINAL
35.2,CARDINAL
"2,844",CARDINAL
464,CARDINAL
"2,635",CARDINAL
372,CARDINAL
209,CARDINAL
30,CARDINAL
377,CARDINAL
92.2,CARDINAL
25,CARDINAL
22,CARDINAL
13.0,CARDINAL
141,CARDINAL
119,CARDINAL
18.3,CARDINAL
"8,368",CARDINAL
"6,459",CARDINAL
29.6,CARDINAL
"Corporate Responsibility 
Management Report Risk Report 
Financial Statements Further Information",ORG
283,CARDINAL
268,CARDINAL
269,CARDINAL
271,CARDINAL
272,CARDINAL
275,CARDINAL
276,CARDINAL
405,CARDINAL
"the Board 
406 Independent Auditor´s Report",ORG
10,CARDINAL
P&L,ORG
2023,CARDINAL
15,CARDINAL
19.3,CARDINAL
11,CARDINAL
13,CARDINAL
13.4,CARDINAL
26,CARDINAL
32,CARDINAL
"16.9 
 
",DATE
11,CARDINAL
9,CARDINAL
2023,CARDINAL
673,CARDINAL
817,CARDINAL
17.6,CARDINAL
3,CARDINAL
12,CARDINAL
2,CARDINAL
3,CARDINAL
46.7,CARDINAL
50,CARDINAL
51,CARDINAL
618,CARDINAL
876,CARDINAL
29.4,CARDINAL
Group,ORG
216,CARDINAL
31,DATE
Group,ORG
216,CARDINAL
284,CARDINAL
12,CARDINAL
Group,ORG
Bank,ORG
third,ORDINAL
one,CARDINAL
annual,DATE
2023,CARDINAL
"4,116",CARDINAL
"4,194",CARDINAL
1.9,CARDINAL
"1,108",CARDINAL
"1,186",CARDINAL
6.6,CARDINAL
369,CARDINAL
357,CARDINAL
3.3,CARDINAL
"1,641",CARDINAL
"1,705",CARDINAL
3.7,CARDINAL
265,CARDINAL
251,CARDINAL
5.4,CARDINAL
230,CARDINAL
183,CARDINAL
25.4,CARDINAL
139,CARDINAL
133,CARDINAL
4.0,CARDINAL
58,CARDINAL
66,CARDINAL
10.9,CARDINAL
306,CARDINAL
313,CARDINAL
2.3,CARDINAL
730,CARDINAL
675,CARDINAL
8.2,CARDINAL
148,CARDINAL
146,CARDINAL
1.7,CARDINAL
58,CARDINAL
43,CARDINAL
36.2,CARDINAL
225,CARDINAL
202,CARDINAL
11.5,CARDINAL
"20 
25",CARDINAL
20.8,CARDINAL
10,CARDINAL
66.4,CARDINAL
109,CARDINAL
124,CARDINAL
12.3,CARDINAL
46,CARDINAL
12.4,CARDINAL
114,CARDINAL
48.7,CARDINAL
"3,386",CARDINAL
"3,519",CARDINAL
3.8,CARDINAL
960,CARDINAL
"1,040",CARDINAL
7.7,CARDINAL
311,CARDINAL
314,CARDINAL
1.1,CARDINAL
"1,416",CARDINAL
"1,503",CARDINAL
5.7,CARDINAL
245,CARDINAL
226,CARDINAL
8.3,CARDINAL
220,CARDINAL
177,CARDINAL
24.0,CARDINAL
30,CARDINAL
12,CARDINAL
13,CARDINAL
4.6,CARDINAL
192,CARDINAL
236,CARDINAL
18.8,CARDINAL
"3,386",CARDINAL
"3,519",CARDINAL
"3.8 
 
",DATE
"Corporate Responsibility 
Management Report Risk Report 
Financial Statements Further Information",ORG
285,CARDINAL
268,CARDINAL
269,CARDINAL
271,CARDINAL
272,CARDINAL
275,CARDINAL
276,CARDINAL
405,CARDINAL
"the Board 
406 Independent Auditor´s Report",ORG
15,CARDINAL
2023,DATE
"1,097",CARDINAL
22,CARDINAL
"1,108",CARDINAL
364,CARDINAL
5,CARDINAL
369,CARDINAL
802,CARDINAL
855,CARDINAL
15,CARDINAL
"1,641",CARDINAL
31,CARDINAL
257,CARDINAL
23,CARDINAL
265,CARDINAL
1,CARDINAL
229,CARDINAL
0,CARDINAL
230,CARDINAL
134,CARDINAL
5,CARDINAL
139,CARDINAL
52,CARDINAL
58,CARDINAL
267,CARDINAL
13,CARDINAL
306,CARDINAL
"2,748",CARDINAL
"1,446",CARDINAL
78,CARDINAL
"4,116",CARDINAL
1,CARDINAL
Others and Consolidation,WORK_OF_ART
2022,DATE
"1,177",CARDINAL
32,CARDINAL
24,CARDINAL
"1,186",CARDINAL
353,CARDINAL
0,CARDINAL
357,CARDINAL
764,CARDINAL
955,CARDINAL
14,CARDINAL
"1,705",CARDINAL
28,CARDINAL
257,CARDINAL
34,CARDINAL
251,CARDINAL
1,CARDINAL
182,CARDINAL
0,CARDINAL
183,CARDINAL
128,CARDINAL
39,CARDINAL
33,CARDINAL
133,CARDINAL
"58 
8",CARDINAL
66,CARDINAL
278,CARDINAL
48,CARDINAL
13,CARDINAL
313,CARDINAL
"2,787",CARDINAL
"1,525",CARDINAL
118,CARDINAL
"4,194",CARDINAL
1,CARDINAL
Others and Consolidation,WORK_OF_ART
13,CARDINAL
P&L,ORG
Bank,ORG
CVA,ORG
DVA,ORG
FVA,ORG
286,CARDINAL
P&L,ORG
2023,CARDINAL
208,CARDINAL
87,CARDINAL
271,CARDINAL
550,CARDINAL
119,CARDINAL
187,CARDINAL
359,CARDINAL
451,CARDINAL
14,CARDINAL
2023,CARDINAL
233,CARDINAL
"2,038",CARDINAL
141,CARDINAL
"2,783",CARDINAL
94.9,CARDINAL
374,CARDINAL
745,CARDINAL
49.8,CARDINAL
272,CARDINAL
"2,147",CARDINAL
100,CARDINAL
"2,909",CARDINAL
96.5,CARDINAL
372,CARDINAL
762,CARDINAL
51.2,CARDINAL
1,CARDINAL
5,CARDINAL
39,CARDINAL
113,CARDINAL
41,CARDINAL
126,CARDINAL
2,CARDINAL
17,CARDINAL
295,MONEY
(previous year,DATE
273,MONEY
previous year,DATE
300,MONEY
8,MONEY
previous year,DATE
11,MONEY
the financial year,DATE
first,ORDINAL
(previous year,DATE
5,CARDINAL
previous year,DATE
3,CARDINAL
"the financial year 
2026",DATE
"Corporate Responsibility 
Management Report Risk Report 
Financial Statements Further Information",ORG
287,CARDINAL
268,CARDINAL
269,CARDINAL
271,CARDINAL
272,CARDINAL
275,CARDINAL
276,CARDINAL
405,CARDINAL
"the Board 
406 Independent Auditor´s Report",ORG
15,CARDINAL
2023,CARDINAL
115,CARDINAL
340,CARDINAL
66.1,CARDINAL
133,CARDINAL
68,CARDINAL
94.7,CARDINAL
5,CARDINAL
4,CARDINAL
280,CARDINAL
27,CARDINAL
1,CARDINAL
AC,ORG
167,CARDINAL
48,CARDINAL
AC,ORG
457,CARDINAL
86,CARDINAL
AC,ORG
289,CARDINAL
38,CARDINAL
52,CARDINAL
292,CARDINAL
The Commerzbank Group,ORG
302bn,MONEY
previous year,DATE
299bn,MONEY
AC,ORG
Commerzbank,ORG
247,MONEY
(previous year,DATE
188,MONEY
288,CARDINAL
Commerzbank,ORG
2023,DATE
2023,CARDINAL
LECL,ORG
247,CARDINAL
188,CARDINAL
19,CARDINAL
17,CARDINAL
12.4,CARDINAL
245,CARDINAL
182,CARDINAL
34.1,CARDINAL
16,CARDINAL
16,CARDINAL
2.0,CARDINAL
2,CARDINAL
6,CARDINAL
63.0,CARDINAL
LECL,ORG
1,CARDINAL
12,CARDINAL
ECL,ORG
the end of financial year,DATE
90,CARDINAL
101,CARDINAL
11.7,CARDINAL
2,CARDINAL
13,CARDINAL
16,CARDINAL
4,MONEY
previous year,DATE
13,MONEY
16,CARDINAL
(previous year,DATE
€4,MONEY
